CONTRACT_ID,UPC,DESCRIPTION,CITY_COUNTY,MANAGER_EMAIL,CONSTRUCTION_COMPANY,ON_TIME_STATUS,ON_BUDGET_STATUS,CONTRACT_AWARD_AMOUNT,COST_OF_WORK_TO_DATE,ORIGINAL_SPECIFIED_COMPLETION_DATE
103606,103606,Town of St. Paul Downtown Streetscaping,Saint Paul,KR.Plummer@VDOT.Virginia.gov,Estes,R,G,329381,311345,2020-02-04
104128,104128,"Town of Floyd - Heritage Pathways, Phases 3-4",Floyd,Cheryl.Becker@vdot.virginia.gov,"Inland Construction, Inc",R,G,1057202,1088852,2020-04-30
104241,104241,Construction Sidewalk West Side of Giles Road,Blacksburg,Adam.Czesnowski@vdot.virginia.gov,DCI/Shires Inc.,Y,G,835860,40304,2021-04-13
104266,104266,Extension of Hope Dr Realignment of Papermill Rd Tevis St,Winchester,Kim.Cameron@vdot.virginia.gov,Perry Engineering,G,G,8388794,456320,2022-07-10
104303,104303,#HB2.FY17 WIDEN ROUTE 1 TO SIX LANES,Prince William County,Jeff.Daily@VDOT.Virginia.gov,Shirley Contracting,G,G,32663373,4409470,2022-10-05
104354,104354,MULTI-USE TRAIL REHABILITATION AND PAVING- CITY OF FAIRFAX,Fairfax,Rita.Hockman@vdot.virginia.gov,VKM Contracting,G,G,257536,0,2021-10-22
104372,104372,Freeman Dr. Reconstruction,Hampton,Derrick.Williams@vdot.virginia.gov,Branscome Inc.,G,G,1961662,1989164,2020-08-31
104263,104263,North Massanutten St./Old Valley Pk. Pedestrian Improvements,Strasburg,Steven.Damron@VDOT.Virginia.gov,GB Foltz Contracting Inc.,G,G,1010370,1012967,2020-04-17
104295,104295,RTE 123 - CHAIN BRIDGE RD PED & DRAINAGE IMPROVEMENTS ,Fairfax,rita.hockman@vdot.virginia.gov,Sagres Construction Corp,R,G,4467755,3680366,2020-04-15
104353,104353,RESURFACING STREETS IN CITY OF FAIRFAX,Fairfax,Rita.Hockman@vdot.virginia.gov,Finley Asphalt,R,G,143210,163115,2020-11-15
104359,104359,Rte 58/Manning Bridge Rd Intersection Improvements,Suffolk,John.Alcaide@vdot.virginia.gov,"Curtis Contracting, Inc",G,G,6663064,0,2024-12-10
104387,104387,#HB2.FY17 Intersection Improv - N. Franklin St/Cambria St,Christiansburg,Adam.Czesnowski@vdot.virginia.gov,"Allegheny Construction Company, Inc.",R,R,5090774,5724753,2020-06-01
104881,104881,JOHN ROLFE PKWY - ADD SIDEWALK,Henrico County,Brian.Lokker@VDOT.Virginia.gov,Central Contracting Company,G,G,856000,856000,2019-03-14
104887,104887,RTE 60 - BRIDGE REHABILITATION,Richmond,Brian.Lokker@VDOT.Virginia.gov,Lanford Brothers,R,G,1283350,1175887,2019-12-02
104957,104957,#HB2.FY17 RTE 656 - SLIDING HILL ROAD CORRIDOR,Hanover County,brian.lokker@vdot.virginia.gov,"Curtis Contracting, Inc.",G,G,6998580,5703907,2020-12-24
104377,104377,Traffic Signal Mast Arm conversion,Newport News,Chessica.Villaflores@vdot.virginia.gov,Bryant-Ritter Hewitt Electric Corporation,R,G,365555,377793,2019-12-27
104817,104817,BURWELL RD - UPGRADE GRAVEL RD TO PAVED FACILITY,Prince William County,Rita.Hockman@vdot.virginia.gov,County Forces,R,G,468590,478060,2019-11-15
104886,104886,RTE 360 -(at Spring Run Rd) INTERSECTION IMPROVEMENTS,Chesterfield County,brian.lokker@vdot.virginia.gov,"Curtis Contracting, Inc.",R,G,1957846,1051440,2021-03-02
104890,104890,RTE 360 E (Lonas Pkwy to Castle Rock Rd) - WIDENING ,Chesterfield County,Mike.Gray@vdot.virginia.gov,Branscome,G,G,4137444,140513,2021-12-08
105109,105109,REHABILITATE BRIDGES -VARIOUS LOCATIONS,Colonial Heights,Evan.Austin@vdot.virginia.gov,Curtis,G,G,849748,864223,2020-07-01
105286,105286,FAIRFAX COUNTY - SRTS - GRAHAM ROAD ES - CROSSING IMP.,Fairfax County,rita.hockman@vdot.virginia.gov,Ashburn Contracting Corporation,R,G,60665,56620,2019-01-10
105295,105295,"ROSSLYN-BALLSTON CORRIDOR ACCESSIBILITY IMPROVEMENTS, PH 1 ",Arlington County,rita.hockman@vdot.virgiia.gov,Fort Meyer Construction Company,R,G,638893,75000,2020-09-21
105527,105527,PORTNER AVENUE SIDEWALK,Manassas,Robert.Strevell@vdot.virginia.gov,"Espina Paving, Inc.",G,G,146559,0,2021-05-02
105099,105099,#HB2.FY17 Clifton Forge Business Park Access Road,Clifton Forge,Michael.Fulcher@VDOT.Virginia.gov,Plecker,G,G,1930325,1577474,2017-12-31
105266,105266,RESTON BIKESHARE INFRASTRUCTURE SUPPORT,Fairfax County,rita.hockman@vdot.virginia.gov,Lyft Canada,G,G,871244,112211,2021-10-31
105288,105288,FAIRFAX COUNTY - SRTS - FLINT HILL ES - INTERSECTION IMP,Fairfax County,Robert.Strevell@vdot.virginia.gov,Ashburn Contracting Corporation,R,R,74613,80000,2019-01-10
105525,105525,NEW TRAFFIC SIGNALS,Falls Church,rita.hockman@vdot.virginia.gov,"Ardent Company, LLC",R,G,538300,538300,2019-06-14
105592,105592,Norfolk ATMS Phase 4C,Norfolk,Derrick.Williams@vdot.virginia.gov,"Dagan Electric Company, LLC",G,G,1138740,981300,2021-07-25
105624,105624,#SGR18LB - Ft Eustis Boulevard BR Replacemt over NN Resevoir,Newport News,Chessica.Villaflores@vdot.virginia.gov,"Infrastructure and Industrial Contractors Southeast, Inc.",G,G,17807928,3292433,2023-01-10
105648,105648,RTE 618 (Old Bermuda Hundred/Permilla Sp.) - RECONSTRUCTION,Chesterfield County,brian.lokker@vdot.virginia.gov,Branscome,R,G,2437825,2112137,2020-06-20
105706,105706,Reconstruct Massanetta Springs Rd.,Rockingham County,Michael.Fulcher@VDOT.Virginia.gov,"A&J Development & Excavation, Inc.",G,G,2177572,2315050,2019-10-11
105581,105581,NURSERY AVENUE DRAINAGE IMPROVEMENTS,Purcellville,Veljibhai.Desai@vdot.virginia.gov,Arthur Construction Co.,G,Y,1164059,1214725,2021-11-11
105608,105608,Chrisman Mill Rd -Realign N Side of Road at Crossing,Christiansburg,Adam.Czesnowski@vdot.virginia.gov,"Boring Contractors, Inc",R,G,593456,585061,2020-04-03
105625,105625,Campbell Road Reconstruction,Newport News,Chessica.Villaflores@vdot.virginia.gov,HENRY S BRANSCOME LLC,R,G,5122695,2012842,2021-09-04
105660,105660,RTE 271 - ADD SIDEWALK,Henrico County,Brian.Lokker@VDOT.Virginia.gov,Central Construction Co,R,G,627606,660450,2020-07-14
105753,105753,#HB2.FY17 WIDEN RTE. 11 (2 TO 4 LANES),Bristol,Tabitha.Crowder@vdot.virginia.gov,"W-L Construction & Paving, Inc.",R,R,7160255,8230592,2019-05-25
105778,105778,Wormley Ck Culvert Imp.(along Cannon),York County,Carolyn.Daliege@VDOT.Virginia.gov,Howard Brothers Contracting Inc.,R,G,1215205,1215205,2019-10-05
105785,105785,ARLINGTON BOULEVARD TRAIL IMPROVEMENTS,Arlington County,Yingwu.Fang@VDOT.Virginia.gov,Internal,R,G,37798,31125,2019-12-01
105958,105958,ALTAVISTA RTE 43/29 DOWNTOWN GATEWAY,Altavista,sharon.white@vdot.virginia.gov,"MCC Acquisition,LC dba Virginia Carolina Paving Company",R,G,896698,762322,2020-06-09
105748,105748,FY15 RS - Construction of  Pedestrian Bridge,Franklin County,Cheryl.Becker@vdot.virginia.gov,D. A. Brown,R,G,1354927,1230301,2019-10-21
105772,105772,FY15 RS - Drainage Improvements - Hans Meadow Dr,Christiansburg,Adam.Czesnowski@vdot.virginia.gov,"King General Contractors, Inc.",G,G,721580,735914,2019-08-03
105784,105784,RIVERSIDE PARKWAY-4 LANE CONSTRUCTION ON NEW ALIGNMENT,Loudoun County,veljibhai.desai@vdot.virginia.gov,F. O. Day,R,Y,10450484,6493738,2021-11-13
105786,105786,ADD ADA COMPLIANT SIDEWALK & RETAINING WALL TO 18TH ST,Arlington County,rita.hockman@vdot.virginia.gov,Ardent LLC,G,G,699600,0,2021-12-03
106027,106027,#TAP15 BUFFALO CREEK BIKE/PED BRIDGE & TRAIL CONNECTIONS,Farmville,Sharon.White@VDOT.Virginia.gov,Burleigh Construction,R,G,987469,933661,2019-05-30
106054,106054,Wentworth Drive SRTS Sidewalk,Winchester,Kim.Cameron@vdot.virginia.gov,"General Excavation, Inc.",R,G,2580092,1174746,2021-03-02
106072,106072,CHILHOWIE SIDEWALKS - TRANSPORTATION ALTERNATIVES,Chilhowie,KR.Plummer@VDOT.Virginia.gov,Boring Construction,G,G,426868,409931,2019-06-17
106145,106145,Chesapeake Bike Trail,Chesapeake,John.Alcaide@vdot.virginia.gov,Virginia Caroline Civil Inc,G,G,936690,0,2021-09-30
105990,105990,OLD COURTHOUSE ROAD SRTS SIDEWALK - FAIRFAX,Fairfax County,Rita.Hockman@vdot.virginia.gov,M&F Concrete,G,G,575166,515056,2020-12-31
106053,106053,#HB2.FY17 Lifecore Drive Shared-Use Path,Augusta County,Michael.Fulcher@VDOT.Virginia.gov,"Branch Civil, Inc",G,G,1249924,914642,2017-12-29
106055,106055,Green Circle Trail - Jubal Early Segment,Winchester,Kim.Cameron@vdot.virginia.gov,"W-L Construction & Paving, Inc.",Y,G,817605,401386,2021-04-09
106144,106144,ARLINGTON SRTS IMPROVEMENTS - ASHLAWN ELEM & WILLIAMSBURG MS,Arlington County,Rita.Hockman@VDOT.Virginia.gov,Fort Meyer Construction Corporation,R,G,79687,35000,2020-09-21
106246,106246,CANNON CREEK GREENWAY,Richmond,Brian.Lokker@vdot.virginia.gov,Simons Contracting,R,G,627835,627835,2019-11-01
106291,106291,PHASE V - DILLWYN STREETSCAPES,Dillwyn,Sharon.White@VDOT.Virginia.gov,S. Walker Construction Inc.,G,G,1100039,1008064,2021-02-15
106495,106495,CAPITAL BIKESHARE EXPANSION-GEORGE WASHINGTON MEMORIAL PKWY,Arlington County,rita.hockman@vdot.virginia.gov,"Motivate International, Inc. and 8D Technologies ULC",G,G,495000,370404,2021-10-31
106968,106968,S. WALTER REED DRIVE BICYCLE & PED IMPROVEMENTS,Arlington County,rita.hockman@vdot.virginia.gov,A&M Concrete Corporation,R,G,1595585,1726861,2019-06-24
106150,106150,Nat Turner Trail and Trailhead,Southampton County,Keisha.Wilkins@vdot.virginia.gov,"Gray and Sons Construction, Inc.",Y,G,450454,64198,2021-04-28
106290,106290,Pedestrian Improvement on Fort Norfolk Site,Norfolk,Derrick.Williams@vdot.virginia.gov,"Conrad Brothers of Virginia, Inc.",G,G,372697,304257,2021-05-07
106489,106489,RTE 234 DUMFRIES ROAD SHARED USE PATH EXTENSION,Prince William County,Rita.Hockman@vdot.virginia.gov,Sagres Construction,R,G,3577399,3169255,2019-07-31
106927,106927,CHAIN BRIDGE ROAD WALKWAY ,Fairfax County,Ed.DelRio@VDOT.Virginia.gov,Ashburn Contracting Corporation,G,G,75184,76871,2018-12-02
106970,106970,N. CARLIN SPRINGS ROAD BIKE & INTERSECTION IMPROVEMENTS,Arlington County,Rita.Hockman@vdot.virginia.gov,M&F Concrete,G,G,222102,78572,2021-07-01
106972,106972,MILITARY ROAD SIDEWALK & INTERSECTION IMPROVEMENTS,Arlington County,Rita.Hockman@vdot.virginia.gov,M&F Concrete Inc.,R,G,174846,112000,2021-07-31
107080,107080,32ND STREET & A STREET INTERSECTION IMPROVEMENTS,Purcellville,rita.hockman@vdot.virginia.gov,M&F Concrete Inc.,G,G,834088,865101,2020-01-06
107154,107154,ORANGE TRANSPORTATION CENTER - SIDEWALKS - PHASE 4,Orange,John.Price@VDOT.Virginia.gov,"M&F Concrete, Inc.",G,G,641630,0,2020-12-04
106969,106969,S. ARLINGTON RIDGE ROAD INTERSECTION IMPROVEMENTS,Arlington County,Rita.hockman@VDOT.Virginia.gov,M&F Construction LLC,G,G,152958,118412,2021-05-24
106971,106971,PERSHING DRIVE SIDEWALK & INTERSECTION IMPROVEMENTS,Arlington County,Rita.Hockman@vdot.virginia.gov,Sagres,R,G,1147598,730070,2021-03-05
106994,106994,NORTHSTAR BLVD EXTENSION SHREVEPORT DR TO ROUTE 50,Loudoun County,Susie.Lue@vdot.virginia.gov,Shirley Contracting,R,G,46354984,3125250,2024-11-08
107087,107087,RTE 652 (Otterdale Rd./Old Hundred Rd.) - ROUNDABOUT,Chesterfield County,Cynthia.Crouch@vdot.virginia.gov,JR Caskey,R,G,3789007,3126952,2021-04-02
107235,107235,"RECONSTRUCT ROADWAY, SIDEWALK, CURB/GUTTER, STORM DRAIN",Saint Paul,KR.Plummer@VDOT.Virginia.gov,Estes Bros.,R,G,3339530,3096151,2019-10-01
107264,107264,Realignment of Colonial Avenue,Nansemond County extinct - City of Suffolk (2006),John.Alcaide@vdot.virginia.gov,Gray  and Sons Construction Inc.,R,G,234784,195051,2019-08-03
107279,107279,Citywide Sidewalk Construction,Newport News,Chessica.Villaflores@vdot.virginia.gov,"RICHARD HITE CONCRETE CONSTRUCTION, INC",G,G,99981,106410,2019-05-29
107291,107291,Signalized Intersection at Roanoke St & Falling Branch Rd,Christiansburg,Adam.Czesnowski@vdot.virginia.gov,"S.C. Rossi and Company, Inc.",R,G,1837967,1877683,2019-11-16
107176,107176,GLENSIDE DR - ADD SIDEWALK ,Henrico County,Doug.Orcutt@vdot.virginia.gov,Blakemore,G,G,173377,173377,2018-10-15
107262,107262,Rural  Area Drainage Improvements,Nansemond County extinct - City of Suffolk (2006),John.Alcaide@vdot.virginia.gov,Allen Myers,R,R,523816,601147,2019-12-25
107275,107275,Corporate Park Drive Extension,Bedford County,Adam.Czesnowski@vdot.virginia.gov,"A. R. Coffee & Sons, Inc.",R,R,1876610,2187539,2019-10-19
107282,107282,Traffic Signal - Glade Road at University City Boulevard ,Blacksburg,Adam.Czesnowski@vdot.virginia.gov,DCI/Shires,R,G,596765,587557,2019-08-23
107300,107300,Riverlawn Court Trail,Pulaski County,Adam.Czesnowski@vdot.virginia.gov,"King General Contractors, Inc",G,G,426705,120013,2021-07-27
107312,107312,Belle Meade Drive Drainage Improvements,Roanoke County,Adam.Czesnowski@vdot.virginia.gov,"Jack St. Clair, Inc",R,G,186185,86676,2019-03-04
107351,107351,Bruce Road Improvement Project,Chesapeake,John.Alcaide@vdot.virginia.gov,Paxton Contractor Corporation,R,R,1428172,1451121,2019-07-29
107437,107437,TOWN CENTER PARKWAY AT SUNSET HILLS SIDEWALK,Fairfax County,Rita.Hockman@vdot.virginia.gov,Ashburn Contracting,G,G,219500,210903,2020-10-01
107297,107297,Price's Fork Road Turn Lane Construction,Montgomery County,Adam.Czesnowski@vdot.virginia.gov,DLB Enterprises LLC,R,G,1797338,1763851,2019-07-05
107310,107310,Kenwick Trail Drainage Improvements,Roanoke County,Adam.Czesnowski@vdot.virginia.gov,"RSG Landscaping & Lawn Care, INC.",R,G,196650,123553,2019-03-04
107350,107350,#SGR18LB - Centerville Turnpike Bridge Rehab,Chesapeake,John.Alcaide@vdot.virginia.gov,W.F. Magann Corporation,G,G,7793596,7637374,2020-09-18
107352,107352,Princess Anne VII,Virginia Beach,Marci.Thompson@vdot.virginia.gov,Kevcor Contracting Corp,R,Y,15705242,12055415,2021-03-14
107515,107515,CARNATION STREET - ADD SIDEWALK - TAP,Richmond,Brian.Lokker@VDOT.Virginia.gov,Central Contracting Company,R,G,521415,212186,2019-09-27
107518,107518,Harrisonburg Streetscape Phase 3,Harrisonburg,Michael.Fulcher@VDOT.Virginia.gov,Partners Excavating Co. Inc.,R,G,786341,758416,2019-11-30
107547,107547,Rte. 250 Bypass Commuter Trail,Charlottesville,MichaelD.Barnes@vdot.virginia.gov,TBD,G,G,873956,898484,2020-01-15
107659,107659,Hamilton Pedestrian Improvements,Loudoun County,veljibhai.desai@vdot.virginia.gov,M & F Construction,R,R,457931,511284,2020-01-31
107462,107462,SCHOLASTIC WAY SIDEWALKS - C502 ,Augusta County,Michael.Fulcher@VDOT.Virginia.gov,S&K Excavating Inc.,G,G,251400,234510,2019-08-21
107517,107517,Rte. 42 Bicycle / Pedestrian / Buggy Lanes,Rockingham County,Michael.Fulcher@VDOT.Virginia.gov,"A & J Development and Excavation, Inc.",G,G,685226,685226,2020-05-31
107535,107535,DOREY PARK - SHARED-USE PATH - TAP,Henrico County,Brian.Lokker@VDOT.Virginia.gov,Dickerson Construction Co,R,R,244942,279445,2021-04-01
107657,107657,Westminster Drive Sidewalk,Front Royal,Steven.Damron@VDOT.Virginia.gov,"M&F Concrete, Inc",G,G,122164,115436,2019-08-09
107726,107726,CITY OF DANVILLE - MULTI USE TRAIL PHASE VII,Danville,sharon.white@vdot.virginia.gov,"MCC Acquisition, LC t/a Virginia Carolina Paving Company",R,G,352108,359931,2020-02-01
108158,108158,PHASE III - BLUE RIDGE RAILROAD TUNNEL (NELSON COUNTY),Nelson County,Sharon.White@VDOT.Virginia.gov,Fielders Choice Incorporated,R,G,1079953,1035841,2020-06-30
108360,108360,Huckleberry Trail - Phase 3,Christiansburg,Adam.Czesnowski@vdot.virginia.gov,"King General Contractors, Inc.",R,R,672716,1062804,2019-11-13
108460,108460,NEW TRAFFIC SIGNALS III,Falls Church,rita.hockman@vdot.virginia.gov,A&M Concrete,R,G,655000,391984,2021-01-11
107661,107661,LOUISE ARCHER ELEMENTARY SRTS IMPROVEMENTS,Vienna,Rita.Hockman@vdot.virginia.gov,Stonebridge Civil Corporation,G,G,162067,136190,2020-06-16
107922,107922,VIRGINIA CREEPER TRAIL - CONSTRUCT RESTROOMS & PARKING,Washington County,Tabitha.Crowder@vdot.virginia.gov,Boring Contractors,G,G,541850,460861,2019-12-13
108205,108205,Stabilization and Restoration - Lighthouse Phase II,Mathews County,Anastasia.Kapitan@vdot.virginia.gov,"First Class Contracting, Inc.",G,G,894595,463983,2021-07-06
108377,108377,eCorridor Regional Park Southwest Trail (Phase II),Scott County,KR.Plummer@VDOT.Virginia.gov,Elk Knob,G,G,363400,205314,2019-11-12
